YelpCategory,SchemaType
Midwives,['Midwifery']
Mobile Phones,['MobilePhoneStore']
Mortgage Brokers,['MortgageLoan']
Mortgage Lenders,['MortgageLoan']
Mosques,['Mosque']
Motorcycle Dealers,['MotorcycleDealer']
Motorcycle Rental,['Motorcycle']
Motorcycle Repair,['MotorcycleRepair']
Motorsport Vehicle Dealers,['AutoDealer']
Museums,['Museum']
Music & Video,['MusicComposition']
Music Venues,['MusicVenue']
Nail Salons,['NailSalon']
Nail Technicians,['NailSalon']
Nanny Services,['ChildCare']
Neurologist,['Neurologic']
Neurotologists,['Neurologic']
Newspapers & Magazines,['Newspaper']
Nightlife,['NightClub']
Notaries,['Notary']
Nurse Practitioner,['Nursing']
Nursing Schools,['Nursing']
Obstetricians & Gynecologists,"['Obstetric', 'Gynecologic']"
Occupational Therapy,['OccupationalTherapy']
Office Equipment,['OfficeEquipmentStore']
Ophthalmologists,['Optician']
Oral Surgeons,['Dentist']
Orthodontists,['Dentist']
Osteopathic Physicians,['Osteopathic']
Osteopaths,['Osteopathic']
Outdoor Furniture Stores,['FurnitureStore']
Outlet Stores,['OutletStore']
Paint & Sip,['Painting']
Painters,['HousePainter']
Parking,['ParkingFacility']
Parks,['Park']
Pawn Shops,['PawnShop']
Pediatric Dentists,['Dentist']
Pediatricians,['Pediatric']
Performing Arts,['PerformingArtsTheater']
Pet Stores,['PetStore']
Petting Zoos,['Zoo']
Pharmacy,['Pharmacy']
Photographers,['Photograph']
Physical Therapy,['PhysicalTherapy']
Piano Stores,['MusicStore']
Plastic Surgeons,['PlasticSurgery']
Playgrounds,['Playground']
Plumbing,['Plumber']
Podiatrists,['Podiatric']
Police Departments,['PoliceStation']
Post Offices,['PostOffice']
Preschools,['Preschool']
Product Design,['ProductModel']
Professional Services,['ProfessionalService']
Professional Sports Teams,['SportsTeam']
Psychiatrists,['Psychiatric']
Psychologists,['Psychiatric']
Public Services & Government,['GovernmentService']
Pubs,['BarOrPub']
RV Dealers,['AutoDealer']
RV Parks,['RVPark']
Radio Stations,['RadioStation']
Radiologists,['Radiography']
Real Estate Agents,['RealEstateAgent']
